Samples,pH,Temp,TS,VS,VFA,CODt,CODs,perCODsbyt,NH4,Prot,Carbo
V_18_1,7.09,22.5,35.1,59.1,24.38,767,64,8,2.82,37,5
V_18_2,8.54,24.9,34.9,50.8,10.17,322,30,9,0.017,17,8
V_18_3,8.37,21.4,35.5,51.3,5.73,388,24,6,0.399,4,6
V_18_4,8.25,19.4,29.9,45.3,5.32,886,32,4,0.616,7,7
V_19_1,7.19,17.6,24.8,58.1,12.99,693,44,6,0.459,21,25
V_19_2,7.68,17.4,31.8,61.2,5.66,760,26,3,0.049,17,10
V_19_3,7.38,16.6,37,55.7,1.76,338,13,4,0.034,9,13
V_2_1,9.42,21.3,63.4,24.4,2.38,196,30,15,0.003,5,0
V_2_2,9.4,20.7,51.6,36.3,4.37,325,36,11,0.004,0,0
V_2_3,9.15,20.8,44.2,29.6,1.73,106,15,14,0.052,12,7
V_20_1,9.04,17,9.6,80.9,18.9,858,75,9,13.401,24,13
V_21_1,10.09,17.7,65.3,22.1,1.18,47,5,10,0.19,20,4
V_21_4,9.58,17.1,40.1,25.2,2.28,114,7,6,0.145,14,3
V_22_1,7.14,16.8,58.1,34.9,1.12,108,3,2,0.03,6,3
V_22_3,6.67,17.1,84.4,38.9,0.31,38,2,5,0.006,3,3
V_22_4,6.79,15.9,80.6,37.7,1.32,31,3,10,0.003,24,4
V_3_1,8.9,22.4,56.2,14,1.1,141,6,5,0.01,0,0
V_3_2,8.08,20.7,52,18.7,0.56,170,10,6,0.054,0,0
V_4_1,9.49,22.6,36.1,30.5,2.07,333,12,4,0.008,2,3
V_4_2,7.81,20.9,47.2,43.9,0.48,135,3,3,0.023,2,2
V_5_1,7.35,24.3,49.7,81.1,33.59,355,80,23,0.051,10,8
V_5_3,9.47,20.7,63.6,42.7,0.23,164,12,7,0.048,0,0
V_6_1,8.99,22.9,56.6,80.2,12.43,313,63,20,0.043,7,2
V_6_2,8.46,24.2,58.9,83,4.53,294,34,12,0.031,10,5
V_6_3,8.08,22.8,55.2,77,3.08,323,19,6,0.013,3,3
V_7_1,7.85,25.8,60.6,64.9,6.16,188,28,15,0.053,11,6
V_7_2,8.11,25.8,73.9,68.1,0.87,242,6,3,0.01,2,3
V_7_3,7.41,23.7,59.4,73.8,0.95,183,4,2,0.016,2,1
V_8_2,9.3,19.5,36.8,48,5.34,82,20,25,1.579,8,7
V_9_1,7.3,18.8,31.3,52.1,1.54,203,11,5,0.141,19,16
V_9_2,4.04,20.5,32,30.4,8.64,226,33,15,0.143,5,6
V_9_3,4.36,19.9,92.6,1.2,0.63,105,4,3,0.033,0,0
V_9_4,4.3,19.8,36.5,32.3,1.1,296,6,2,0,2,4
