Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Algae,Hummia,onusta,,0.28,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Draba,fladnizensis,2,0.28,"Grundt et al., 2005 (Ref. 505)",2011
Angiosperm,Nepeta,teydea,2,0.28,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Cardamine,glauca,2,0.28,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Draba,lasiocarpa,2,0.28,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Psidium,guajava,2,0.28,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Pimenta,dioica,2,0.28,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Calyptranthes,brasiliensis,2,0.28,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Nepenthes,pervillei,,0.28,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Mimusops,elengi,,0.28,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Draba,palanderiana,2,0.28,"Grundt et al., 2005 (Ref. 505)",2011
Angiosperm,Rubus,nivalis,2,0.28,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Erysimum,sylvestre,,0.28,"Vidic et al., 2009 (Ref. 628)",2012
Angiosperm,Arabis,montbretiana,2,0.28,"Hoffmann et al., 2010 (Ref. 657)",2012
Bryophyte,Tetraphis,pellucida,,0.28,"Voglmayr H, 2010 (Ref. 1)",2000
Bryophyte,Fissidens,subbasilaris,,0.28,"Voglmayr H, 2010 (Ref. 1)",2000
Bryophyte,Scapania,cf. irrigua,,0.28,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Rubus,niveus,2,0.29,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Prunus,tomentosa,2,0.29,"Baird et al., 1994 (Ref. 606)",2011
Bryophyte,Dicranodontium,denudatum,,0.29,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Santalum,album,,0.29,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Sinningia,speciosa,2,0.29,"Zaitlin and Pierce, 2010 (Ref. 647)",2012
Angiosperm,Sinningia,aggregata,2,0.29,"Zaitlin and Pierce, 2010 (Ref. 647)",2012
Angiosperm,Sinningia,muscicola,2,0.29,"Zaitlin and Pierce, 2010 (Ref. 647)",2012
Angiosperm,Myagrum,perfoliatum,2,0.29,"Lysák et al., 2009 (Ref. 599)",2011
