Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Angiosperm,Vicia,cordata,2,1.98,"Raina and Bisht, 1988 (Ref. 189)",1995
Bryophyte,Atrichum,undulatum,,1.98,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Turnera,grandidentata,4,1.98,"Lopez et al., 2011 (Ref. 694)",2012
Angiosperm,Nymphaea,alba,,1.99,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Dahlia,australis,4,1.99,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Gossypium,robinsonii,2,2,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Solanum,luteum,4,2,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Saraca,indica,2,2,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Millettia,ovalifolia,,2,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Phalaris,caroliniana,2,2,"Kadir, 1974 (Ref. 26)",1976
Angiosperm,Salacca,glabrescens,2,2,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Ipomoea,tiliacea,4,2,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Pennisetum,ramosum,2,2,"Martel et al., 1997 (Ref. 308)",2000
Angiosperm,Peperomia,fenzlei,4,2,"Morawetz and Samuel, 1998 (Ref. 341)",2000
Angiosperm,Microseris,lindleyi,2,2,"Price and Bachmann, 1975 (Ref. 47)",1976
Angiosperm,Agoseris,grandiflora,2,2,"Price and Bachmann, 1975 (Ref. 47)",1976
Algae,Cladophoropsis,macromeres,,2,"Kapruan and Nguyen, 1994 (Ref. 21)",2005
Algae,Cosmarium,cucumis,,2,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Centaurea,jacea,4,2,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Mycelis,muralis,2,2,"Dolezalová et al., 2002 (Ref. 608)",2011
Angiosperm,Rumex,longifolius,6,2,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Caesalpinia,mexicana,,2,"Ohri et al., 2004 (Ref. 501)",2011
Bryophyte,Lophozia,incisa,,2.01,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Hydrangea,scandens,2,2.01,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Dahlia,merckii,4,2.01,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Sideritis,macrostachys,4,2.02,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Viola,tricolor,2,2.02,"Slomka et al., 2011 (Ref. 679)",2012
Angiosperm,Lomelosia,cretica,2,2.02,"Temsch and Greilhuber, 2010 (Ref. 652)",2012
Angiosperm,Taraxacum,paludosum,4,2.02,"Závesky et al., 2005 (Ref. 514)",2011
Angiosperm,Galinsoga,quadriradiata,2,2.02,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Phlomis,tuberosa,,2.02,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Glycine,tabacina,4,2.03,"Hammatt et al., 1991 (Ref. 165)",1995
Angiosperm,Phalaris,angusta,2,2.03,"Kadir, 1974 (Ref. 26)",1976
Angiosperm,Cotula,coronopifolia,2,2.03,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Bismarckia,nobilis,2,2.03,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Cajanus,goensis,2,2.03,"Ohri, 1996 (Ref. 303)",1997
Angiosperm,Oncidium,tricostatum,,2.03,"Hanson et al., 1999 (Ref. 377)",2000
Angiosperm,Decaisnea,fargesii,2,2.03,"Nagl, 1960 (Ref. 84)",1982
Angiosperm,Opuntia,violacea,,2.04,"Sliwinska et al., 2009 (Ref. 624)",2012
Angiosperm,Pilosella,lactucella,2,2.04,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Bellis,sylvestris,,2.04,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Centaurea,moesiaca,4,2.04,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Sophora,mollis,2,2.04,"Ohri et al., 2004 (Ref. 501)",2011
Angiosperm,Penstemon,venustus,8,2.04,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Chamaecytisus,hirsutus,,2.05,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Bryophyte,Mnium,marginatum,,2.05,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Haplopappus,gracilis,2,2.05,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Torilis,arvensis,2,2.05,"Le et al., 1978 (Ref. 118)",1991
Angiosperm,Tephrosia,falciformis,2,2.05,"Raina et al., 1986 (Ref. 183)",1995
Angiosperm,Sterculia,colorata,,2.05,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Vicia,picta,2,2.05,"Rees et al., 1966 (Ref. 20)",1976
Angiosperm,Collinsia,heterophylla,2,2.05,"Greilhuber, 1988 (Ref. 203)",1995
Angiosperm,Datura,stramonium,,2.05,"Arumuganathan and Earle, 1991 (Ref. 227)",1995
Angiosperm,Acacia,tortilis,6,2.05,"Mukerjee and Sharma, 1993 (Ref. 289)",1997
Angiosperm,Acacia,victoriae,2,2.05,"Mukerjee and Sharma, 1993 (Ref. 289)",1997
Angiosperm,Vanda,lamellata,,2.05,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Dendrobium,samoense,2,2.05,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Mammillaria,bocasana,2,2.05,"Barlow, 1974 (Ref. 31)",1976
Angiosperm,Crepis,pannonica,2,2.05,"Brown and Jone, 1975 (Ref. 42)",1976
Angiosperm,Momordica,charantia,2,2.05,"Ingle et al., 1975 (Ref. 69)",1982
Angiosperm,Clarkia,amoena,2,2.05,"Narayan, 1978 (Ref. 77)",1982
Algae,Spirogyra,communis,,2.05,"Kapraun, 2005 (Ref. 23)",2005
Algae,Physolinum,monile,,2.05,"Lopez-Bautista et al., 2000 (Ref. 31)",2005
Angiosperm,Anubias,barteri,,2.05,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Taraxacum,stenocephalum,4,2.05,"Závesky et al., 2005 (Ref. 514)",2011
Angiosperm,Sideritis,cretica,4,2.06,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Gossypium,sturtianum,2,2.06,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Campanula,americana,4,2.06,"Galloway & Etterson, 2005 (Ref. 486)",2011
Angiosperm,Centaurea,stenolepis,4,2.06,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Onosma,visianii,2,2.06,"Martonfi et al., 2008 (Ref. 623)",2012
Angiosperm,Cistus,osbeckiaefolius,2,2.07,"Ellul et al., 2002 (Ref. 404)",2005a
Angiosperm,Dahlia,apiculata,4,2.07,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Dahlia,variabilis,8,2.07,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Centaurea,davidovii,4,2.07,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Bunias,erucago,2,2.07,"Greilhuber and Obermayer, 1999 (Ref. 393)",2005a
Angiosperm,Olea,cuspidata,2,2.07,"Bitonti et al., 1999 (Ref. 462)",2005a
Angiosperm,Cytisus,ciliatus,,2.07,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Argyrolobium,zanonii,2,2.07,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Coccinia,indica,2,2.08,"Chattopadhyay and Sharma, 1991 (Ref. 214)",1995
Angiosperm,Triglochin,procera,,2.08,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Hevea,camargoana,2,2.08,"Bennett et al., 1997 (Ref. 270)",1997
Angiosperm,Hypochaeris,pampasica,2,2.08,"Cerbah et al., 1995 (Ref. 280)",1997
Angiosperm,Hypochaeris,megapotamica,2,2.08,"Cerbah et al., 1995 (Ref. 280)",1997
Angiosperm,Microtea,scabrida,2,2.08,"Poggio et al., 1999 (Ref. 354)",2000
Angiosperm,Euphorbia,atropurpurea,2,2.08,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Hieracium,cymosum,2,2.08,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Centaurea,nervosa,4,2.08,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Collomia,grandiflora,2,2.08,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Youngia,tenuicaulis,2,2.08,"Enke et al., 2011 (Ref. 670)",2012
Angiosperm,Crepis,sancta,2,2.09,"Dimitrova and Greilhuber, 2000 (Ref. 394)",2005a
Angiosperm,Sorghum,purpureosericeum,,2.09,"Price et al., 2005 (Ref. 511)",2011
Angiosperm,Scabiosa,delmaniana,2,2.1,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Nardus,stricta,2,2.1,"Band, 1984 (Ref. 154)",1991
Angiosperm,Agrostemma,githago,,2.1,"Olszewska and Osiecka, 1983 (Ref. 156)",1991
Angiosperm,Sisyrinchium,convolutum,8,2.1,"Kenton et al., 1986 (Ref. 177)",1995
Angiosperm,Piper,cernuum,2,2.1,"Samuel et al., 1986 (Ref. 180)",1995
Angiosperm,Solanum,tuberosum,4,2.1,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Guizotia,villosa,2,2.1,"Hiremath et al., 1992 (Ref. 212)",1995
Angiosperm,Actinidia,chinensis,6,2.1,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Arachis,pusilla,2,2.1,"Singh et al., 1996 (Ref. 297)",1997
Angiosperm,Smitinandia,micrantha,,2.1,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Dendrobium,spectabile,2,2.1,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Acacia,simsii,2,2.1,"Mukherjee and Sharma, 1995 (Ref. 364)",2000
Angiosperm,Ranunculus,hederaceus,2,2.1,"Smith and Bennett, 1975 (Ref. 45)",1976
Angiosperm,Crepis,capillaris,2,2.1,"Evans et al., 1972 (Ref. 7)",1976
Algae,Valonia,ventricosa,,2.1,"Kapruan and Nguyen, 1994 (Ref. 21)",2005
Algae,Sirogonium,strictum,,2.1,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Vinca,major,,2.1,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Achillea,montana,,2.1,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Dahlia,scapigeroides,4,2.1,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Eleocharis,palustris,,2.1,"Zedek et al., 2010 (Ref. 632)",2012
Angiosperm,Artemisia,oxycephala,2,2.11,"Pellicer et al., 2007 (Ref. 553)",2011
Angiosperm,Matthiola,incana,2,2.11,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Dahlia,tenuicaulis,4,2.11,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Hieracium,onegense,2,2.12,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Pancicia,serbica,,2.12,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Lolium,canariense,2,2.13,"Hutchinson et al., 1979 (Ref. 102)",1982
Angiosperm,Sorghum,versicolor,2,2.13,"Laurie and Bennett, 1985 (Ref. 132)",1991
Angiosperm,Lapeirousia,verecunda,,2.13,"Goldblatt et al., 1984 (Ref. 137)",1991
Angiosperm,Glycine,tomentella,4,2.13,"Hammatt et al., 1991 (Ref. 165)",1995
Angiosperm,Ilex,argentina,4,2.13,"Barral et al., 1995 (Ref. 322)",2000
Angiosperm,Setaria,incrassata,4,2.13,"Le et al., 1998 (Ref. 330)",2000
Angiosperm,Pennisetum,polystachyon,4,2.13,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Oncidium,excavatum,,2.13,"Hanson et al., 1999 (Ref. 377)",2000
Angiosperm,Clarkia,franciscana,2,2.13,"Narayan, 1978 (Ref. 77)",1982
Angiosperm,Ulmus,minor,,2.13,"Loureiro et al., 2007 (Ref. 585)",2011
Angiosperm,Remusatia,vivipara,,2.13,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Poa,imbecilla,4,2.13,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Impatiens,parviflora,2,2.13,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Malus,sargentii,,2.14,"Höfer and Meister, 2010 (Ref. 625)",2012
Angiosperm,Cistus,populifolius,2,2.15,"Ellul et al., 2002 (Ref. 404)",2005a
Angiosperm,Hydrangea,serrata,,2.15,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Euphorbia,obtusifolia,2,2.15,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Atriplex,patula,4,2.15,"Band, 1984 (Ref. 154)",1991
Angiosperm,Lolium,italicum,2,2.15,"Rees and Jones, 1967 (Ref. 17)",1976
Angiosperm,Datura,meteloides,2,2.15,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Guizotia,schimperi,2,2.15,"Hiremath et al., 1992 (Ref. 212)",1995
Angiosperm,Hevea,brasiliensis,2,2.15,"Bennett et al., 1997 (Ref. 270)",1997
Angiosperm,Calamus,subinermis,,2.15,"Hanson et al., 1999 (Ref. 377)",2000
Algae,Microdictyon,marinum,,2.15,"Kapruan and Nguyen, 1994 (Ref. 21)",2005
Angiosperm,Hoya,carnosa,,2.15,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Centaurea,debeauxii,4,2.15,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Hieracium,echioides,2,2.16,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Myzorrhiza,californica,4,2.16,"Weiss-Schneeweiss et al., 2005 (Ref. 531)",2011
Angiosperm,Fallopia,sachalinensis,4,2.16,"Suda et al., 2010 (Ref. 637)",2012
Angiosperm,Knautia,integrifolia,2,2.16,"Temsch and Greilhuber, 2010 (Ref. 652)",2012
Angiosperm,Aeonium,simsii,,2.17,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Dahlia,coccinea,4,2.17,"Temsch et al., 2008 (Ref. 597)",2011
Angiosperm,Cistus,creticus,2,2.17,"Ellul et al., 2002 (Ref. 404)",2005a
Angiosperm,Erigeron,annuus,3,2.17,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Turnera,velutina,6,2.17,"Lopez et al., 2011 (Ref. 694)",2012
Angiosperm,Montia,perfoliata,2,2.18,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Sisyrinchium,littorale,12,2.18,"Kenton et al., 1986 (Ref. 177)",1995
Angiosperm,Tephrosia,adunca,2,2.18,"Raina et al., 1986 (Ref. 183)",1995
Angiosperm,Ravenea,hildebrandtii,2,2.18,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Zizania,aquatica,2,2.18,"Barlow, 1981 (Ref. 58)",1982
Angiosperm,Dactylis,smithii,2,2.18,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Ailanthus,grandis,,2.18,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Asparagus,densiflorus,,2.18,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Cuscuta,gronovii,,2.19,"McNeal et al., 2007 (Ref. 568)",2011
Angiosperm,Heracleum,sphondylium,,2.19,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Crithmum,maritimum,2,2.19,"Dolenc Koce et al., 2008 (Ref. 580)",2011
Angiosperm,Festuca,alpina,2,2.19,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Chenopodium,giganteum,6,2.2,"Ohri, 2002 (Ref. 455)",2005a
Angiosperm,Vicia,dasycarpa,2,2.2,"Raina and Rees, 1983 (Ref. 112)",1991
Angiosperm,Nicotiana,setchellii,2,2.2,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Nandina,domestica,2,2.2,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Pennisetum,pedicellatum,4,2.2,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Calamagrostis,epigeios,,2.2,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Hydrocharis,morsus-ranae,,2.2,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Festuca,pseudovina,2,2.21,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Euphorbia,aphylla,2,2.21,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Silene,alpestris,2,2.21,"Temsch et al., 2010 (Ref. 627)",2012
Angiosperm,Galega,officinalis,2,2.21,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Lysimachia,punctata,2,2.21,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Chionochloa,australis,6,2.22,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Xeranthemum,inapertum,2,2.22,"Garnatje et al., 2004 (Ref. 502)",2011
Angiosperm,Helianthemum,nummularium,4,2.23,"Mowforth, 1986 (Ref. 158)",1991
Angiosperm,Vicia,amphicarpa,2,2.23,"Martin and Shanks, 1966 (Ref. 19)",1976
Angiosperm,Setaria,chevalieri,4,2.23,"Le et al., 1998 (Ref. 330)",2000
Angiosperm,Actinidia,deliciosa,6,2.23,"Hopping ME., 1994 (Ref. 344)",2000
Angiosperm,Oncidium,ochmatochilum,,2.23,"Hanson et al., 1999 (Ref. 377)",2000
Angiosperm,Festuca,pratensis,2,2.23,"Seal, 1979 (Ref. 72)",1982
Angiosperm,Cistus,ladanifer,2,2.23,"Ellul et al., 2002 (Ref. 404)",2005a
Angiosperm,Cistus,laurifolius,2,2.23,"Ellul et al., 2002 (Ref. 404)",2005a
Angiosperm,Physaria,didymocarpa,,2.23,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Opuntia,microdasys,,2.24,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Nicotiana,glutinosa,2,2.24,"Leitch et al., 2008 (Ref. 566)",2011
Angiosperm,Scabiosa,canescens,2,2.24,"Temsch and Greilhuber, 2010 (Ref. 652)",2012
Angiosperm,Solanum,retroflexum,4,2.25,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Vicia,eriocarpa,2,2.25,"Raina and Rees, 1983 (Ref. 112)",1991
Angiosperm,Senecio,jacobaea,4,2.25,"Band, 1984 (Ref. 154)",1991
Angiosperm,Anthriscus,sylvestris,2,2.25,"Band, 1984 (Ref. 154)",1991
Angiosperm,Vicia,sativa,2,2.25,"Rees et al., 1966 (Ref. 20)",1976
Angiosperm,Vicia,angustifolia,2,2.25,"Rees et al., 1966 (Ref. 20)",1976
Angiosperm,Sabal,mauritiiformis,2,2.25,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Hypochaeris,microcephala,2,2.25,"Cerbah et al., 1995 (Ref. 280)",1997
Angiosperm,Ipomoea,batatas,6,2.25,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Malus,communis,2,2.25,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Pennisetum,violaceum,2,2.25,"Martel et al., 1997 (Ref. 308)",2000
Angiosperm,Pennisetum,mollissimum,2,2.25,"Martel et al., 1997 (Ref. 308)",2000
Angiosperm,Clarkia,rubicunda,2,2.25,"Narayan, 1978 (Ref. 77)",1982
Angiosperm,Clarkia,lasseninsis,2,2.25,"Narayan, 1978 (Ref. 77)",1982
Gymnosperm,Gnetum,ula,2,2.25,"Ohri and Khoshoo, 1986 (Ref. 15)",1998
Angiosperm,Petroselinum,crispum,,2.25,"Obermayer et al., 2002 (Ref. 382)",2005a
Algae,Cladophoropsis,membranacea,,2.25,"Kapruan and Nguyen, 1994 (Ref. 21)",2005
Angiosperm,Achillea,vulgaris,,2.25,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Matthiola,sinuata,2,2.25,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Tecophilaea,cyanocrocus,,2.26,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Poa,lindsayi,4,2.26,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Silene,reichenbachii,,2.26,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Veronica,teucrium,8,2.26,"Albach & Greilhuber, 2003 (Ref. 478)",2011
Angiosperm,Ptilotrichum,canescens,,2.26,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Inula,helenium,2,2.26,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Dactylis,polygama,2,2.26,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Saponaria,officinalis,,2.27,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Valeriana,dioscoridis,,2.27,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Datura,inoxia,,2.27,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Torilis,japonica,2,2.28,"Le et al., 1978 (Ref. 118)",1991
Angiosperm,Bulnesia,retama,2,2.28,"Poggio and Hunziker, 1986 (Ref. 174)",1995
Angiosperm,Nicotiana,petunioides,2,2.28,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Datura,innoxia,2,2.28,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Datura,discolor,2,2.28,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Vicia,villosa,2,2.28,"Chooi WY., 1971 (Ref. 21)",1976
Angiosperm,Passiflora,menispermifolia,,2.28,"Arumuganathan and Earle, 1991 (Ref. 227)",1995
Angiosperm,Digitaria,setigera,,2.28,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Machaeranthera,parviflora,2,2.28,"Stucky and Jackson, 1975 (Ref. 94)",1982
Angiosperm,Poa,breviglumis,4,2.28,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Opuntia,dillenii,6,2.28,"Negron-Ortiz, 2007 (Ref. 557)",2011
Angiosperm,Festuca,valesiaca,2,2.28,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Hydrangea,macrophylla,2,2.28,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Consolida,orientalis,2,2.28,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Curcuma,raktakanta,15,2.29,"Leong-Skornickova et al., 2007 (Ref. 562)",2011
Angiosperm,Matthiola,maderensis,2,2.29,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Lactuca,viminea,2,2.29,"Dolezalová et al., 2002 (Ref. 608)",2011
Angiosperm,Trifolium,ambiguum,6,2.29,"Vizintin et al., 2006 (Ref. 534)",2011
Angiosperm,Nymphaea,odorata,,2.3,"Diao et al., 2006 (Ref. 626)",2012
Angiosperm,Trifolium,africanum,4,2.3,"Vizintin et al., 2006 (Ref. 534)",2011
Angiosperm,Tussilago,farfara,2,2.3,"Grime and Mowforth, 1982 (Ref. 110)",1991
Angiosperm,Oxalis,rusciformis,2,2.3,"De Azkue and Martínez, 1988 (Ref. 172)",1995
Angiosperm,Anthospermum,spathulatum,4,2.3,"Kiehn, 1986 (Ref. 175)",1995
Angiosperm,Xanthosoma,violaceum,2,2.3,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Ravenea,glauca,2,2.3,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Peperomia,trifolia,,2.3,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Phyllostachys,aureus,,2.3,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Vulpia,geniculata,,2.3,"Marañón and Grubb, 1993 (Ref. 274)",1997
Angiosperm,Zantedeschia,aethiopica,,2.3,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Zantedeschia,albomaculata,,2.3,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Sorghum,leiocladum,,2.3,"Price et al., 2005 (Ref. 511)",2011
Angiosperm,Pimpinella,cumbrae,2,2.3,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Genista,benehoavensis,4,2.3,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Eleocharis,mamillata,,2.3,"Zedek et al., 2010 (Ref. 632)",2012
Angiosperm,Stapelia,grandiflora,,2.31,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Cyclamen,graecum,,2.31,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Artemisia,santolinifolia,2,2.31,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Corylopsis,sinensis,,2.31,"Garcia S. et al., 2010 (Ref. 664)",2012
Angiosperm,Fallopia,x bohemica,4,2.32,"Suda et al., 2010 (Ref. 637)",2012
Angiosperm,Myzorrhiza,pinorum,4,2.32,"Weiss-Schneeweiss et al., 2005 (Ref. 531)",2011
Angiosperm,Pterospartum,tridentatum,,2.32,"Loureiro et al., 2007 (Ref. 563)",2011
Angiosperm,Matricaria,matricarioides,2,2.33,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Papaver,persicum,2,2.33,"Srivastava and Lavania, 1991 (Ref. 167)",1995
Angiosperm,Papaver,ocellatum,2,2.33,"Srivastava and Lavania, 1991 (Ref. 167)",1995
Angiosperm,Nicotiana,linearis,2,2.33,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Calamus,viminalis,2,2.33,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Hedysarum,pycnostachyum,2,2.33,"Akpinar and Yildiz, 1999 (Ref. 363)",2000
Angiosperm,Chenopodium,album,6,2.33,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Crepis,setosa,2,2.33,"Brown and Jone, 1975 (Ref. 42)",1976
Angiosperm,Ruppia,cirrhosa,4,2.33,"Dolenc Koce et al., 2008 (Ref. 580)",2011
Angiosperm,Orobanche,hederae,2,2.33,"Weiss-Schneeweiss et al., 2005 (Ref. 531)",2011
Angiosperm,Physaria,bellii,,2.34,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Festuca,cf. taurica,2,2.34,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Mercurialis,perennis,8,2.35,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Pillansia,templemanii,4,2.35,"Goldblatt et al., 1984 (Ref. 137)",1991
Angiosperm,Papaver,atlanticum,2,2.35,"Srivastava and Lavania, 1991 (Ref. 167)",1995
Angiosperm,Papaver,ruprifragum,2,2.35,"Srivastava and Lavania, 1991 (Ref. 167)",1995
Angiosperm,Ravenea,madagascariensis,2,2.35,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Hypochaeris,chillensis,2,2.35,"Cerbah et al., 1995 (Ref. 280)",1997
Angiosperm,Neofinetia,falcata,,2.35,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Oncidium,sphacelatum,,2.35,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Trichopilia,maculata,,2.35,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Panicum,virgatum,8,2.35,"Hopkins et al., 1996 (Ref. 331)",2000
Angiosperm,Daphne,blagayana,2,2.35,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Halimium,halimifolium,2,2.36,"Boscaiu et al., 2008 (Ref. 567)",2011
Angiosperm,Silene,sendtneri,,2.36,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Campanula,thyrsoides,2,2.37,"Temsch et al., 2010 (Ref. 627)",2012
